seed,y,variant,quantity,mean,ci_low,ci_high,p_le_zero
2026,rev_yoy,BASE,r_fwt,0.9552585250381962,0.8766487351065178,0.9911295618819469,0.0
2026,rev_yoy,BASE,skill_fwt,0.8538870426290377,0.6137036097858245,0.9769423877365454,0.0002
2026,rev_yoy,BASE,syn_corr,-0.07786038591173801,-0.2410894798266342,0.005538756781087143,0.9628
2026,rev_yoy,BASE,syn_skill,-0.14888407433912562,-0.44858726711285984,0.027303784110055136,0.9474
2027,rev_yoy,BASE,r_fwt,0.949404701137633,0.8411647739733857,0.988736584557095,0.0
2027,rev_yoy,BASE,skill_fwt,0.8541980382222085,0.5850504089090824,0.9697977813713633,0.0
2027,rev_yoy,BASE,syn_corr,-0.08790410353885408,-0.2984667225309953,-0.008956574693494422,0.9932
2027,rev_yoy,BASE,syn_skill,-0.10656982910423585,-0.49958737558084504,0.07529979687488872,0.816
2028,rev_yoy,BASE,r_fwt,0.950611202569332,0.842190441316628,0.989049571236696,0.0
2028,rev_yoy,BASE,skill_fwt,0.8369610230632836,0.5613152972162181,0.9667004558140915,0.0006
2028,rev_yoy,BASE,syn_corr,-0.10782359286974806,-0.3899412345432481,0.009423460735592665,0.9566
2028,rev_yoy,BASE,syn_skill,-0.17946460452824417,-0.6355806567007887,0.0800497779648356,0.9118
2026,rev_yoy,TOOL,r_fwt,0.9545968033644407,0.8709528568411448,0.9896173710827252,0.0
2026,rev_yoy,TOOL,skill_fwt,0.8607785157509692,0.6235586998842996,0.9714574121791393,0.0002
2026,rev_yoy,TOOL,syn_corr,-0.10327346654087328,-0.32920929957653655,0.006376350125201623,0.9584
2026,rev_yoy,TOOL,syn_skill,-0.18034984518501507,-0.5497620452175346,0.015042554328510186,0.954
2027,rev_yoy,TOOL,r_fwt,0.9616916526563567,0.8916413524409904,0.989974100226812,0.0
2027,rev_yoy,TOOL,skill_fwt,0.8682357503101495,0.658679722007258,0.9669567678952129,0.0
2027,rev_yoy,TOOL,syn_corr,-0.11777836478635499,-0.376795105613621,0.01137044082347716,0.9454
2027,rev_yoy,TOOL,syn_skill,-0.20894381733927636,-0.590731118613412,0.005692909131218762,0.9698
2028,rev_yoy,TOOL,r_fwt,0.9572734943136009,0.8657022529839005,0.9932754516119062,0.0
2028,rev_yoy,TOOL,skill_fwt,0.8325573456155576,0.5529737568400546,0.9719882450093497,0.0002
2028,rev_yoy,TOOL,syn_corr,-0.10902293921539703,-0.3455552878171663,-0.006193546414626272,0.987
2028,rev_yoy,TOOL,syn_skill,-0.2034679905193097,-0.5856838237735308,-0.010579248531128533,0.9834
2026,surprise_early,BASE,r_fwt,0.5962271756345111,-0.09250355983828895,0.93531341311118,0.0426
2026,surprise_early,BASE,skill_fwt,0.3366521657998731,-0.3464240527608681,0.8378384511169226,0.1768
2026,surprise_early,BASE,syn_corr,-0.17237048673215435,-0.8044168066391838,0.28377052870770003,0.7144
2026,surprise_early,BASE,syn_skill,-0.12939431159884088,-0.42624480127351544,0.11698775174341838,0.779
2027,surprise_early,BASE,r_fwt,0.54708893569058,-0.11740663957306079,0.900168127718285,0.058
2027,surprise_early,BASE,skill_fwt,0.26234637892737167,-0.3643025984635329,0.7228617821350447,0.2052
2027,surprise_early,BASE,syn_corr,0.07147479587548955,-0.09337938196434803,0.5292781366839137,0.264
2027,surprise_early,BASE,syn_skill,0.08335875188984461,-0.08792019752671029,0.2794278539024272,0.117
2028,surprise_early,BASE,r_fwt,0.57942061621754,-0.09019061582426668,0.9166965380046872,0.0418
2028,surprise_early,BASE,skill_fwt,0.28924125575097204,-0.45123689859359634,0.7669736036194205,0.1918
2028,surprise_early,BASE,syn_corr,-0.16854447772634545,-0.7509028420676246,0.4940854897258741,0.7086
2028,surprise_early,BASE,syn_skill,-0.22874829151982623,-0.7927358372226373,0.20856876546565256,0.7944
2026,surprise_early,TOOL,r_fwt,0.5914409008785121,-0.014606465478078978,0.9027030811929597,0.0268
2026,surprise_early,TOOL,skill_fwt,0.3050655664380411,-0.4145636990038686,0.7502032625018988,0.1586
2026,surprise_early,TOOL,syn_corr,-0.12362047599606331,-0.5997622251538623,0.42263020019450787,0.7354
2026,surprise_early,TOOL,syn_skill,-0.12174231604192598,-0.45958470282013986,0.13325809861067264,0.7774
2027,surprise_early,TOOL,r_fwt,0.5670864358706224,-0.07750616645464922,0.9110824536029976,0.0454
2027,surprise_early,TOOL,skill_fwt,0.28526132360328227,-0.4633376351080799,0.765715571531991,0.1946
2027,surprise_early,TOOL,syn_corr,-0.026330473639469894,-0.20542303558616334,0.20610530958043458,0.655
2027,surprise_early,TOOL,syn_skill,-0.0429777762474356,-0.40360263136092045,0.09244346835953833,0.5532
2028,surprise_early,TOOL,r_fwt,0.5456097753103227,-0.14231927269515224,0.8744371006187185,0.0492
2028,surprise_early,TOOL,skill_fwt,0.24127813523023164,-0.45579200290100746,0.6583145895775563,0.184
2028,surprise_early,TOOL,syn_corr,-0.40261766895097306,-0.9922079488823625,0.1440654912571844,0.9034
2028,surprise_early,TOOL,syn_skill,-0.47679126585074466,-1.1110773537596699,-0.011763002397064522,0.9776
2026,surprise_print,BASE,r_fwt,0.15265762124759286,-0.3713210199516254,0.4958997321287436,0.189
2026,surprise_print,BASE,skill_fwt,-0.11068995525100714,-0.6055510467025591,0.1706891898290919,0.6996
2026,surprise_print,BASE,syn_corr,0.0849116303339914,-0.25604351838521205,0.4076387915082018,0.315
2026,surprise_print,BASE,syn_skill,-0.1315282823893297,-0.7651594961320483,0.10968588868288892,0.7572
2027,surprise_print,BASE,r_fwt,-0.005077410194547478,-0.5602632233271276,0.47309186111365376,0.4816
2027,surprise_print,BASE,skill_fwt,-0.31042676983720785,-1.0545751576476645,0.107651999662424,0.9318
2027,surprise_print,BASE,syn_corr,-0.06255476009795316,-0.4112498682028889,0.2502889068581293,0.6406
2027,surprise_print,BASE,syn_skill,-0.1824510474926525,-0.7120176997090089,0.11800617233404036,0.8186
2028,surprise_print,BASE,r_fwt,0.1667503623492049,-0.3533809211563112,0.5850583374137573,0.1808
2028,surprise_print,BASE,skill_fwt,-0.09187866627535601,-0.5554778493183165,0.2535514854136206,0.6846
2028,surprise_print,BASE,syn_corr,-0.11829582012130777,-0.4097163421013347,0.15170549884338722,0.79
2028,surprise_print,BASE,syn_skill,-0.2961671955843427,-1.0016295330626155,0.08384851442398507,0.9346
2026,surprise_print,TOOL,r_fwt,0.2787662952510762,-0.2067059982038944,0.6973188562204986,0.098
2026,surprise_print,TOOL,skill_fwt,-0.00996654655038551,-0.5148223484813146,0.3898261342993802,0.4776
2026,surprise_print,TOOL,syn_corr,0.30590758493033393,-0.25728796723916947,1.0094591227324496,0.2414
2026,surprise_print,TOOL,syn_skill,0.24211019518063745,-0.27207800868781307,1.2047363087799343,0.293
2027,surprise_print,TOOL,r_fwt,0.18338868203094097,-0.23653800259894325,0.5581757225139863,0.1356
2027,surprise_print,TOOL,skill_fwt,-0.09131857581431785,-0.5685688550296082,0.22094413853880424,0.6692
2027,surprise_print,TOOL,syn_corr,-0.16181162382269762,-0.6754025064742412,0.19276750178885751,0.7438
2027,surprise_print,TOOL,syn_skill,-0.35607037524225743,-1.2474234795960948,0.19890713295046067,0.8808
2028,surprise_print,TOOL,r_fwt,0.04972884516563216,-0.5190165667381264,0.53767398265349,0.385
2028,surprise_print,TOOL,skill_fwt,-0.21153915058137598,-0.822446200835125,0.153728942187041,0.8828
2028,surprise_print,TOOL,syn_corr,-0.19041087682463148,-0.7202939017769179,0.2027041589810373,0.7182
2028,surprise_print,TOOL,syn_skill,-0.43969312459761706,-1.6084326089465433,0.11924548290730227,0.8566
