seed,y,variant,model,available,rmse,r2,calib_r2,corr,mae,sign
2026,surprise_early,BASE,N0,True,6.144289437723083,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
2026,surprise_early,BASE,N1,False,,,,,,
2026,surprise_early,BASE,N2,True,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.069049062672593,0.7142857142857143
2026,surprise_early,BASE,N3,False,,,,,,
2026,surprise_early,BASE,N4,False,,,,,,
2026,surprise_early,BASE,N3b,False,,,,,,
2026,surprise_early,BASE,N4b,False,,,,,,
2026,surprise_early,BASE,N5,False,,,,,,
2026,surprise_early,BASE,fin,True,4.132158641120944,0.13142389535322474,-0.020797643138894095,0.40892827177827606,2.53287085991857,0.6666666666666666
2026,surprise_early,BASE,fin+x,True,3.582099472326954,0.3472765918944668,0.23118371671622384,0.6093241702097838,2.5232357538335477,0.6190476190476191
2026,surprise_early,BASE,fin+text,True,3.704395514484476,0.3019466693475882,0.002723317890348076,0.5867147514575092,2.443241572892385,0.6666666666666666
2026,surprise_early,BASE,fin+x+text,True,3.366968373722559,0.4233238659432026,0.3974632281869529,0.6868101575838675,2.2039984848013328,0.6666666666666666
2026,surprise_early,TOOL,N0,True,6.144289437723083,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
2026,surprise_early,TOOL,N1,False,,,,,,
2026,surprise_early,TOOL,N2,True,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.069049062672593,0.7142857142857143
2026,surprise_early,TOOL,N3,False,,,,,,
2026,surprise_early,TOOL,N4,False,,,,,,
2026,surprise_early,TOOL,N3b,False,,,,,,
2026,surprise_early,TOOL,N4b,False,,,,,,
2026,surprise_early,TOOL,N5,False,,,,,,
2026,surprise_early,TOOL,fin,True,3.971002464321276,0.1978525311432533,-0.005636256096215764,0.4546436290228643,2.4961017042426725,0.6666666666666666
2026,surprise_early,TOOL,fin+x,True,3.610553511687274,0.3368657238937668,0.20509862842112336,0.6092957613168379,2.5567531465580324,0.6190476190476191
2026,surprise_early,TOOL,fin+text,True,3.6378450275557195,0.3268028130000118,0.07134855647231986,0.6013034976174576,2.3778370139635094,0.7142857142857143
2026,surprise_early,TOOL,fin+x+text,True,3.4730027125614473,0.38642995433594085,0.3434973194324896,0.6542474083588914,2.437444277632088,0.6190476190476191
2026,surprise_print,BASE,N0,True,4.661726153061786,-0.7398127262384768,,-0.21261522395104948,3.294406010058851,0.5714285714285714
2026,surprise_print,BASE,N1,False,,,,,,
2026,surprise_print,BASE,N2,True,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
2026,surprise_print,BASE,N3,False,,,,,,
2026,surprise_print,BASE,N4,False,,,,,,
2026,surprise_print,BASE,N3b,False,,,,,,
2026,surprise_print,BASE,N4b,False,,,,,,
2026,surprise_print,BASE,N5,False,,,,,,
2026,surprise_print,BASE,fin,True,3.655237399529845,-0.06964623004768078,-0.1654618237323222,0.23005139781862805,2.4788994189873406,0.5714285714285714
2026,surprise_print,BASE,fin+x,True,3.5382168482463783,-0.002254188491948028,-0.30668733322570874,0.2542529359497135,2.564166226311417,0.5238095238095238
2026,surprise_print,BASE,fin+text,True,3.743829947315554,-0.12212494106218119,-0.32238248886200416,-0.036174704956442316,2.4326756651678103,0.7142857142857143
2026,surprise_print,BASE,fin+x+text,True,3.617224825458895,-0.04751437888000032,-0.3958770471177522,0.15678905370474766,2.526467366202183,0.5238095238095238
2026,surprise_print,TOOL,N0,True,4.661726153061786,-0.7398127262384768,,-0.21261522395104948,3.294406010058851,0.5714285714285714
2026,surprise_print,TOOL,N1,False,,,,,,
2026,surprise_print,TOOL,N2,True,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
2026,surprise_print,TOOL,N3,False,,,,,,
2026,surprise_print,TOOL,N4,False,,,,,,
2026,surprise_print,TOOL,N3b,False,,,,,,
2026,surprise_print,TOOL,N4b,False,,,,,,
2026,surprise_print,TOOL,N5,False,,,,,,
2026,surprise_print,TOOL,fin,True,3.605671742099909,-0.04083373548561453,-0.16407216147251158,0.2584984594418892,2.3485342191823504,0.6666666666666666
2026,surprise_print,TOOL,fin+x,True,3.8811511896163062,-0.20595224235089704,-0.4791922987927404,0.06096439559129332,2.9629325141366163,0.47619047619047616
2026,surprise_print,TOOL,fin+text,True,3.5058878832030405,0.01597748747773775,-0.18133579437899172,0.20431504747158996,2.3736234837721404,0.7619047619047619
2026,surprise_print,TOOL,fin+x+text,True,3.4050375973346667,0.07177596267599129,-0.06560827107760647,0.3402749389491016,2.2782982372450147,0.6190476190476191
2026,rev_yoy,BASE,N0,True,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238095
2026,rev_yoy,BASE,N1,False,,,,,,
2026,rev_yoy,BASE,N2,True,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238095
2026,rev_yoy,BASE,N3,False,,,,,,
2026,rev_yoy,BASE,N4,False,,,,,,
2026,rev_yoy,BASE,N3b,False,,,,,,
2026,rev_yoy,BASE,N4b,False,,,,,,
2026,rev_yoy,BASE,N5,False,,,,,,
2026,rev_yoy,BASE,fin,True,8.840589354672831,0.795009789310757,0.7167483585989083,0.8943485546083607,6.8039612854854985,0.9047619047619048
2026,rev_yoy,BASE,fin+x,True,5.085584074370396,0.9321652291088486,0.9268239850507901,0.9680905776056531,3.977127102327091,1.0
2026,rev_yoy,BASE,fin+text,True,6.37299912087852,0.8934733173565914,0.8773102046758635,0.9534595931001624,4.1964334149147735,0.9523809523809523
2026,rev_yoy,BASE,fin+x+text,True,5.751234657816855,0.9132453301967407,0.9025235098557238,0.9643684213974028,3.64591314462825,1.0
2026,rev_yoy,TOOL,N0,True,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238095
2026,rev_yoy,TOOL,N1,False,,,,,,
2026,rev_yoy,TOOL,N2,True,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238095
2026,rev_yoy,TOOL,N3,False,,,,,,
2026,rev_yoy,TOOL,N4,False,,,,,,
2026,rev_yoy,TOOL,N3b,False,,,,,,
2026,rev_yoy,TOOL,N4b,False,,,,,,
2026,rev_yoy,TOOL,N5,False,,,,,,
2026,rev_yoy,TOOL,fin,True,8.562294413240458,0.8077125237089857,0.7578844389498334,0.9003759199931028,6.431160074189796,0.9047619047619048
2026,rev_yoy,TOOL,fin+x,True,5.291984276123859,0.9265472980468296,0.9282553620816476,0.969180172921677,4.215107191965601,1.0
2026,rev_yoy,TOOL,fin+text,True,5.79162931183222,0.9120223817324833,0.896232420895173,0.9611348159332997,3.9070796895009843,0.9523809523809523
2026,rev_yoy,TOOL,fin+x+text,True,5.624658767588527,0.9170219841306917,0.9121896216241314,0.9650598581439868,3.9432151243510507,1.0
2027,surprise_early,BASE,N0,True,6.144289437723083,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
2027,surprise_early,BASE,N1,False,,,,,,
2027,surprise_early,BASE,N2,True,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.069049062672593,0.7142857142857143
2027,surprise_early,BASE,N3,False,,,,,,
2027,surprise_early,BASE,N4,False,,,,,,
2027,surprise_early,BASE,N3b,False,,,,,,
2027,surprise_early,BASE,N4b,False,,,,,,
2027,surprise_early,BASE,N5,False,,,,,,
2027,surprise_early,BASE,fin,True,3.274375359648113,0.454605402972897,0.31970119112198525,0.6754999763718198,2.17176192847856,0.7142857142857143
2027,surprise_early,BASE,fin+x,True,3.5720306191470423,0.35094088955757863,0.10154620110670864,0.6245069370465434,2.5469229886021503,0.5714285714285714
2027,surprise_early,BASE,fin+text,True,3.549174917847771,0.35922034887984655,0.26322447318347386,0.6322782157531738,2.448781206471157,0.6666666666666666
2027,surprise_early,BASE,fin+x+text,True,3.6375337820952023,0.3269180024066364,0.16730532805409892,0.595463064597425,2.4060033481831598,0.7142857142857143
2027,surprise_early,TOOL,N0,True,6.144289437723083,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
2027,surprise_early,TOOL,N1,False,,,,,,
2027,surprise_early,TOOL,N2,True,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.069049062672593,0.7142857142857143
2027,surprise_early,TOOL,N3,False,,,,,,
2027,surprise_early,TOOL,N4,False,,,,,,
2027,surprise_early,TOOL,N3b,False,,,,,,
2027,surprise_early,TOOL,N4b,False,,,,,,
2027,surprise_early,TOOL,N5,False,,,,,,
2027,surprise_early,TOOL,fin,True,3.4376969921174134,0.3988413609540321,0.28939748374211494,0.639516727054384,2.2725483322600555,0.7142857142857143
2027,surprise_early,TOOL,fin+x,True,3.333970829090654,0.43457175973488626,0.17376887008130515,0.6939180136564795,2.4335382248706994,0.6190476190476191
2027,surprise_early,TOOL,fin+text,True,3.672340197910985,0.3139753556425594,0.22911730551314502,0.5813284674299679,2.4503861710003463,0.7142857142857143
2027,surprise_early,TOOL,fin+x+text,True,3.4381628850051142,0.39867840621222006,0.32619452236010527,0.6527139730560986,2.32945873938671,0.6666666666666666
2027,surprise_print,BASE,N0,True,4.661726153061786,-0.7398127262384768,,-0.21261522395104948,3.294406010058851,0.5714285714285714
2027,surprise_print,BASE,N1,False,,,,,,
2027,surprise_print,BASE,N2,True,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
2027,surprise_print,BASE,N3,False,,,,,,
2027,surprise_print,BASE,N4,False,,,,,,
2027,surprise_print,BASE,N3b,False,,,,,,
2027,surprise_print,BASE,N4b,False,,,,,,
2027,surprise_print,BASE,N5,False,,,,,,
2027,surprise_print,BASE,fin,True,3.5978244865398046,-0.036308198515793366,-0.069699520283796,0.2306047612276793,2.3020466378873112,0.6666666666666666
2027,surprise_print,BASE,fin+x,True,3.7005573642405847,-0.09633497515127232,-0.11450952232533052,0.13585938431846759,2.5694418877017244,0.5238095238095238
2027,surprise_print,BASE,fin+text,True,3.594541426647534,-0.034417773014484565,-0.08294829395888215,0.12633988606388888,2.408606272482333,0.7142857142857143
2027,surprise_print,BASE,fin+x+text,True,3.794944322736155,-0.15297477179934327,-0.22102109153840854,0.06501837296199907,2.5792621295385425,0.5714285714285714
2027,surprise_print,TOOL,N0,True,4.661726153061786,-0.7398127262384768,,-0.21261522395104948,3.294406010058851,0.5714285714285714
2027,surprise_print,TOOL,N1,False,,,,,,
2027,surprise_print,TOOL,N2,True,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
2027,surprise_print,TOOL,N3,False,,,,,,
2027,surprise_print,TOOL,N4,False,,,,,,
2027,surprise_print,TOOL,N3b,False,,,,,,
2027,surprise_print,TOOL,N4b,False,,,,,,
2027,surprise_print,TOOL,N5,False,,,,,,
2027,surprise_print,TOOL,fin,True,3.688411077796037,-0.08914981722693494,-0.07078953945369193,0.2503840998992563,2.425432549328004,0.6666666666666666
2027,surprise_print,TOOL,fin+x,True,3.1886067939349387,0.18602527116507472,-0.029009349625791492,0.4680176965867638,2.4313125759735454,0.6190476190476191
2027,surprise_print,TOOL,fin+text,True,3.6989862251349335,-0.09540423476566606,-0.171654906035817,0.08798104369602544,2.57046271722432,0.6666666666666666
2027,surprise_print,TOOL,fin+x+text,True,3.591857797370305,-0.03287378882620584,-0.06535954078854855,0.19283200379046286,2.5162957665335206,0.5238095238095238
2027,rev_yoy,BASE,N0,True,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238095
2027,rev_yoy,BASE,N1,False,,,,,,
2027,rev_yoy,BASE,N2,True,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238095
2027,rev_yoy,BASE,N3,False,,,,,,
2027,rev_yoy,BASE,N4,False,,,,,,
2027,rev_yoy,BASE,N3b,False,,,,,,
2027,rev_yoy,BASE,N4b,False,,,,,,
2027,rev_yoy,BASE,N5,False,,,,,,
2027,rev_yoy,BASE,fin,True,7.955894211046696,0.8339844818944199,0.8283502682117112,0.9140467321442023,6.243437661278787,0.9047619047619048
2027,rev_yoy,BASE,fin+x,True,6.1516074557958556,0.9007460235818517,0.9019845516543583,0.9628162689501669,4.704629919267675,1.0
2027,rev_yoy,BASE,fin+text,True,6.457571015006908,0.8906272662258563,0.8726477913831959,0.9507701719496535,4.42112018668117,0.9523809523809523
2027,rev_yoy,BASE,fin+x+text,True,5.65187823100797,0.9162169283097426,0.9122356862103262,0.9645071918518788,3.9551628579497056,1.0
2027,rev_yoy,TOOL,N0,True,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238095
2027,rev_yoy,TOOL,N1,False,,,,,,
2027,rev_yoy,TOOL,N2,True,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238095
2027,rev_yoy,TOOL,N3,False,,,,,,
2027,rev_yoy,TOOL,N4,False,,,,,,
2027,rev_yoy,TOOL,N3b,False,,,,,,
2027,rev_yoy,TOOL,N4b,False,,,,,,
2027,rev_yoy,TOOL,N5,False,,,,,,
2027,rev_yoy,TOOL,fin,True,9.146600909350783,0.7805729594094469,0.7630309018981856,0.8875567057872642,6.860634381152235,0.9047619047619048
2027,rev_yoy,TOOL,fin+x,True,4.673422753345495,0.9427150124534438,0.943668601598392,0.975032178291032,3.5585599394725347,1.0
2027,rev_yoy,TOOL,fin+text,True,6.265827462945687,0.8970260079812279,0.8789793508659491,0.9561445462685215,4.315639481880686,0.9523809523809523
2027,rev_yoy,TOOL,fin+x+text,True,5.445850674829454,0.9222138738997201,0.9223247527539566,0.9703329746133833,3.7739806847132322,1.0
2028,surprise_early,BASE,N0,True,6.144289437723083,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
2028,surprise_early,BASE,N1,False,,,,,,
2028,surprise_early,BASE,N2,True,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.069049062672593,0.7142857142857143
2028,surprise_early,BASE,N3,False,,,,,,
2028,surprise_early,BASE,N4,False,,,,,,
2028,surprise_early,BASE,N3b,False,,,,,,
2028,surprise_early,BASE,N4b,False,,,,,,
2028,surprise_early,BASE,N5,False,,,,,,
2028,surprise_early,BASE,fin,True,4.16116299772237,0.11918772120863463,0.12023038919348905,0.37691677853900457,2.643017161665289,0.7142857142857143
2028,surprise_early,BASE,fin+x,True,3.461267220476155,0.3905695312165829,0.2581286219309735,0.6426281417524607,2.542711706149745,0.6190476190476191
2028,surprise_early,BASE,fin+text,True,3.7433345276491465,0.2871942662158449,0.18800189238057463,0.5698689662130579,2.633359549455411,0.6666666666666666
2028,surprise_early,BASE,fin+x+text,True,3.4585818573650684,0.3915147961466102,0.33744353475136524,0.6734875117557261,2.4416361133625175,0.5714285714285714
2028,surprise_early,TOOL,N0,True,6.144289437723083,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
2028,surprise_early,TOOL,N1,False,,,,,,
2028,surprise_early,TOOL,N2,True,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.069049062672593,0.7142857142857143
2028,surprise_early,TOOL,N3,False,,,,,,
2028,surprise_early,TOOL,N4,False,,,,,,
2028,surprise_early,TOOL,N3b,False,,,,,,
2028,surprise_early,TOOL,N4b,False,,,,,,
2028,surprise_early,TOOL,N5,False,,,,,,
2028,surprise_early,TOOL,fin,True,4.288680860384462,0.06437597817851948,0.05387625021640685,0.3432341548785358,2.765840206375715,0.6190476190476191
2028,surprise_early,TOOL,fin+x,True,3.4300996885007065,0.40149554366907503,0.26129825513013516,0.658240658542745,2.6101650618212227,0.5238095238095238
2028,surprise_early,TOOL,fin+text,True,3.5176411336465194,0.3705561908354471,0.2779345164524777,0.6394797918074318,2.4450750935436165,0.7142857142857143
2028,surprise_early,TOOL,fin+x+text,True,3.6393306307999884,0.3262528675647627,0.16619512148281668,0.6051321122819965,2.4986020996388087,0.6666666666666666
2028,surprise_print,BASE,N0,True,4.661726153061786,-0.7398127262384768,,-0.21261522395104948,3.294406010058851,0.5714285714285714
2028,surprise_print,BASE,N1,False,,,,,,
2028,surprise_print,BASE,N2,True,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
2028,surprise_print,BASE,N3,False,,,,,,
2028,surprise_print,BASE,N4,False,,,,,,
2028,surprise_print,BASE,N3b,False,,,,,,
2028,surprise_print,BASE,N4b,False,,,,,,
2028,surprise_print,BASE,N5,False,,,,,,
2028,surprise_print,BASE,fin,True,3.767896223703499,-0.13659791018296197,-0.14812071088969847,0.19698897374545807,2.605912212232564,0.6190476190476191
2028,surprise_print,BASE,fin+x,True,3.48643120265753,0.026869270334060502,-0.04079933098391697,0.29150654116880803,2.643898550170658,0.5238095238095238
2028,surprise_print,BASE,fin+text,True,3.535192801880998,-0.0005417055914276325,-0.05542693295687662,0.16225718617324092,2.3135052717426605,0.6666666666666666
2028,surprise_print,BASE,fin+x+text,True,3.5745105601482696,-0.02292114568356851,-0.06445074391960359,0.19324634688602663,2.3801302876755033,0.5714285714285714
2028,surprise_print,TOOL,N0,True,4.661726153061786,-0.7398127262384768,,-0.21261522395104948,3.294406010058851,0.5714285714285714
2028,surprise_print,TOOL,N1,False,,,,,,
2028,surprise_print,TOOL,N2,True,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
2028,surprise_print,TOOL,N3,False,,,,,,
2028,surprise_print,TOOL,N4,False,,,,,,
2028,surprise_print,TOOL,N3b,False,,,,,,
2028,surprise_print,TOOL,N4b,False,,,,,,
2028,surprise_print,TOOL,N5,False,,,,,,
2028,surprise_print,TOOL,fin,True,3.801569788802843,-0.1570041661244883,-0.13931794574741385,0.19273188116373804,2.557983563134119,0.5714285714285714
2028,surprise_print,TOOL,fin+x,True,3.505608420280862,0.016134358921220948,-0.011731083640050599,0.2628259313234163,2.612993344072513,0.5238095238095238
2028,surprise_print,TOOL,fin+text,True,3.6122504727788223,-0.04463530811864036,-0.15560956084733424,0.07580643427857149,2.4410634713199904,0.7619047619047619
2028,surprise_print,TOOL,fin+x+text,True,3.7594560286271164,-0.13151158980761646,-0.1114994631821895,0.09970470149011608,2.5624430450129587,0.6190476190476191
2028,rev_yoy,BASE,N0,True,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238095
2028,rev_yoy,BASE,N1,False,,,,,,
2028,rev_yoy,BASE,N2,True,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238095
2028,rev_yoy,BASE,N3,False,,,,,,
2028,rev_yoy,BASE,N4,False,,,,,,
2028,rev_yoy,BASE,N3b,False,,,,,,
2028,rev_yoy,BASE,N4b,False,,,,,,
2028,rev_yoy,BASE,N5,False,,,,,,
2028,rev_yoy,BASE,fin,True,8.992864643297047,0.7878872380608927,0.7559610148799848,0.889816544941962,6.716720391091028,0.9047619047619048
2028,rev_yoy,BASE,fin+x,True,5.776274784363629,0.9124882485960606,0.8845122705065709,0.9597808952760556,4.386656056077763,1.0
2028,rev_yoy,BASE,fin+text,True,6.539518303143847,0.8878337488611264,0.864154255535492,0.9503334416946319,4.427361921468251,0.9523809523809523
2028,rev_yoy,BASE,fin+x+text,True,5.99865881078488,0.9056202097725897,0.9038094560149572,0.9635605800460907,4.138016030095497,0.9523809523809523
2028,rev_yoy,TOOL,N0,True,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238095
2028,rev_yoy,TOOL,N1,False,,,,,,
2028,rev_yoy,TOOL,N2,True,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238095
2028,rev_yoy,TOOL,N3,False,,,,,,
2028,rev_yoy,TOOL,N4,False,,,,,,
2028,rev_yoy,TOOL,N3b,False,,,,,,
2028,rev_yoy,TOOL,N4b,False,,,,,,
2028,rev_yoy,TOOL,N5,False,,,,,,
2028,rev_yoy,TOOL,fin,True,9.060323859178194,0.7846930102148787,0.7605572689329727,0.8905823882066225,6.923623558308435,0.9047619047619048
2028,rev_yoy,TOOL,fin+x,True,5.528661544044836,0.9198302196815201,0.8958822660453831,0.9643852175685469,4.0062172317868585,1.0
2028,rev_yoy,TOOL,fin+text,True,6.111877710919756,0.9020239338861807,0.8936944102582899,0.9601795446051459,4.327917089371057,0.9523809523809523
2028,rev_yoy,TOOL,fin+x+text,True,6.160857806654053,0.9004472969725852,0.9027700011802111,0.9652148768825627,4.014024238281334,1.0
